"","triplet_id","sample","pep","triplet"
"1829","dolphyn_896847739549762186","S3.0153.01X194",0,2.99673177388707
"1830","dolphyn_8989362103097529054","S3.0153.01X194",1.62334081760309,1.80170980008122
"1831","dolphyn_8989362103097529054","S3.0693.01X195",2.00012773496011,0
"1832","dolphyn_8993896019020410818","S3.0153.01X194",0,5.12229592230256
"1833","dolphyn_8993896019020410818","SO.0491.01X194",0,3.8079949350041
"1834","dolphyn_8996557825475064177","S3.0693.01X195",1.64287268852034,0
"1835","dolphyn_9006538075509268814","S3.0693.01X195",1.96711235670592,0
"1836","dolphyn_9015307227903015062","S3.0153.01X194",2.63691217326887,0
"1837","dolphyn_902163160919230833","S3.0693.01X195",1.79009141212736,0
"1838","dolphyn_9022134873372853430","S3.0153.01X194",0,2.36555989215543
"1839","dolphyn_9031742953650104588","S3.0153.01X194",0,2.27931646605469
"1840","dolphyn_9032049106755881724","S3.0153.01X194",1.62531126159039,1.80170980008122
"1841","dolphyn_9043597125544433714","S3.0693.01X195",1.63119940421561,0
"1842","dolphyn_9051597379401660690","S3.0153.01X194",1.63705307946707,0
"1843","dolphyn_9051597379401660690","S3.0693.01X195",1.61938824328727,0
"1844","dolphyn_9062030312896536771","S3.0153.01X194",1.76473079684014,0
"1845","dolphyn_9062030312896536771","SO.0491.01X194",1.66392609771817,0
"1846","dolphyn_9065079102350899733","S3.0693.01.2X194",0,2.12823170584927
"1847","dolphyn_9065079102350899733","S3.0693.01X195",0,2.92584614608982
"1848","dolphyn_9065393802832446195","S3.0153.01X194",1.87333945622048,0
"1849","dolphyn_9073414175417323459","S3.0693.01X195",1.63119940421561,0
"1850","dolphyn_909060956870631225","S3.0153.01X194",1.65632149833295,0
"1851","dolphyn_9099839283440429201","S3.0693.01X195",1.81645208181843,0
"1852","dolphyn_9101059866838860225","S3.0153.01X194",0,3.53105536892037
"1853","dolphyn_9115576201456462875","S3.0153.01X194",1.70110510095992,0
"1854","dolphyn_9131581281880093154","S3.0153.01X194",0,1.61938824328727
"1855","dolphyn_9135994417841573750","SO.0491.01X194",0,1.62924053973028
"1856","dolphyn_9137263725627544069","S3.0693.01.2X194",1.66770682055808,0
"1857","dolphyn_9139941010089838068","S3.0693.01X195",1.7281094421516,0
"1858","dolphyn_9140674006957255348","S3.0693.01X195",2.29051251175978,1.76473079684014
"1859","dolphyn_9141487855017976800","S3.0153.01X194",1.61541998411165,1.72097928716701
"1860","dolphyn_9141487855017976800","S3.0693.01.2X194",0,1.6467336971778
"1861","dolphyn_914163647525617029","S3.0153.01X194",1.7281094421516,0
"1862","dolphyn_9152259943691140228","S3.0153.01X194",1.61143591509677,0
"1863","dolphyn_9155480288143785744","S3.0693.01X195",1.63119940421561,0
"1864","dolphyn_9159941097901400538","SO.0491.01X194",0,3.2240623515555
"1865","dolphyn_9160780225642987009","S3.0153.01X194",1.83736998048011,0
"1866","dolphyn_9168774279316971704","S3.0693.01X195",0,1.80828877117927
"1867","dolphyn_9171673777271872485","S3.0693.01X195",1.69927861643389,0
"1868","dolphyn_9177916921729424691","S3.0693.01X195",0,1.71018781553424
"1869","dolphyn_917990111425113590","S3.0693.01X195",1.87487437593856,0
"1870","dolphyn_9184838285516146761","S3.0153.01X194",2.39425228151987,2.91777073208428
"1871","dolphyn_9214698870226378686","S3.0693.01X195",1.63119940421561,0
"1872","dolphyn_928185215397604021","S3.0693.01X195",1.86408013080768,1.8531680973567
"1873","dolphyn_937682811063071253","S3.0693.01X195",2.50634193050807,0
"1874","dolphyn_940362470119259067","S3.0153.01X194",0,2.83556352140117
"1875","dolphyn_940362470119259067","SO.0491.01X194",0,1.84213567655312
"1876","dolphyn_943715704055308272","SO.0491.01X194",3.18096625179498,2.06559613485778
"1877","dolphyn_946735970318941313","S3.0693.01X195",0,1.73342389221509
"1878","dolphyn_951107508860172520","S3.0153.01X194",1.68824909285839,0
"1879","dolphyn_951107508860172520","S3.0693.01X195",1.61938824328727,0
"1880","dolphyn_956225272614940518","S3.0153.01X194",1.62334081760309,0
"1881","dolphyn_975526095056378824","S3.0693.01X195",0,1.77664583141801
"1882","dolphyn_977883471896394359","S3.0693.01X195",1.61143591509677,0
"1883","dolphyn_996866191385502126","SO.0491.01X194",1.71018781553424,0
